ip,anonblock,proxy,vpn,cdn,public-wifi,rangeblock,school-block,tor,webhost
3.32.0.0/16,False,True,False,False,False,False,False,False,True
3.33.34.0/23,False,True,False,False,False,False,False,False,True
3.33.40.0/21,False,True,False,False,False,False,False,False,True
3.33.128.0/17,False,True,False,False,False,False,False,False,True
3.34.0.0/16,False,True,False,False,False,False,False,False,False
3.35.0.0/16,False,True,False,False,False,False,False,False,True
3.36.0.0/16,False,True,False,False,False,False,False,False,True
3.37.0.0/16,False,True,False,False,False,False,False,False,True
3.38.0.0/16,False,True,False,False,False,False,False,False,True
3.39.0.0/16,False,True,False,False,False,False,False,False,True
3.40.0.0/16,False,True,False,False,False,False,False,False,True
3.41.0.0/16,False,True,False,False,False,False,False,False,True
3.42.0.0/16,False,True,False,False,False,False,False,False,True
3.43.0.0/16,False,True,False,False,False,False,False,False,True
3.44.0.0/16,False,True,False,False,False,False,False,False,True
3.45.0.0/17,False,True,False,False,False,False,False,False,True
3.64.0.0/16,False,True,False,False,False,False,False,False,True
3.65.0.0/16,False,True,False,False,False,False,False,False,True
3.66.0.0/16,False,True,False,False,False,False,False,False,True
3.67.0.0/16,False,True,False,False,False,False,False,False,True
3.68.0.0/16,False,True,False,False,False,False,False,False,True
3.69.0.0/16,False,True,False,False,False,False,False,False,True
3.70.0.0/16,False,True,False,False,False,False,False,False,True
3.71.0.0/16,False,True,False,False,False,False,False,False,True
3.72.0.0/16,False,True,False,False,False,False,False,False,True
3.73.0.0/16,False,True,False,False,False,False,False,False,True
3.74.0.0/16,False,True,False,False,False,False,False,False,True
3.75.0.0/16,False,True,False,False,False,False,False,False,True
3.76.0.0/16,False,True,False,False,False,False,False,False,True
3.77.0.0/16,False,True,False,False,False,False,False,False,True
3.78.0.0/16,False,True,False,False,False,False,False,False,True
3.79.0.0/16,False,True,False,False,False,False,False,False,True
3.80.0.0/16,False,True,False,False,False,False,False,False,True
3.81.0.0/16,False,True,False,False,False,False,False,False,True
3.82.0.0/16,False,True,False,False,False,False,False,False,True
3.83.0.0/16,False,True,False,False,False,False,False,False,True
3.84.0.0/16,False,True,False,False,False,False,False,False,True
3.85.0.0/16,False,True,False,False,False,False,False,False,True
3.86.0.0/16,False,True,False,False,False,False,False,False,True
3.87.0.0/16,False,True,False,False,False,False,False,False,True
3.88.0.0/16,False,True,False,False,False,False,False,False,True
3.89.0.0/16,False,True,False,False,False,False,False,False,True
3.90.0.0/16,False,True,False,False,False,False,False,False,True
3.91.0.0/16,False,True,False,False,False,False,False,False,True
3.92.0.0/16,False,True,False,False,False,False,False,False,True
3.93.0.0/16,False,True,False,False,False,False,False,False,True
3.94.0.0/16,False,True,False,False,False,False,False,False,True
3.95.0.0/16,False,True,False,False,False,False,False,False,True
3.96.0.0/16,False,True,False,False,False,False,False,False,True
3.97.0.0/16,False,True,False,False,False,False,False,False,True
3.98.0.0/16,False,True,False,False,False,False,False,False,True
3.99.0.0/16,False,True,False,False,False,False,False,False,True
3.101.0.0/16,False,True,False,False,False,False,False,False,False
3.102.0.0/16,False,True,False,False,False,False,False,False,True
3.103.0.0/16,False,True,False,False,False,False,False,False,True
3.104.0.0/16,False,True,False,False,False,False,False,False,True
3.105.0.0/16,False,True,False,False,False,False,False,False,True
3.106.0.0/16,False,True,False,False,False,False,False,False,True
3.107.0.0/16,False,True,False,False,False,False,False,False,True
3.108.0.0/16,False,True,False,False,False,False,False,False,True
3.109.0.0/16,False,True,False,False,False,False,False,False,True
3.110.0.0/16,False,True,False,False,False,False,False,False,True
3.111.0.0/16,False,True,False,False,False,False,False,False,True
3.112.0.0/16,False,True,False,False,False,False,False,False,True
3.113.0.0/16,False,True,False,False,False,False,False,False,True
3.114.0.0/16,False,True,False,False,False,False,False,False,True
3.115.0.0/16,False,True,False,False,False,False,False,False,True
3.120.0.0/16,False,True,False,False,False,False,False,False,True
3.121.0.0/16,False,True,False,False,False,False,False,False,True
3.122.0.0/16,False,True,False,False,False,False,False,False,True
3.123.0.0/16,False,True,False,False,False,False,False,False,True
3.124.0.0/16,False,True,False,False,False,False,False,False,True
3.125.0.0/16,False,True,False,False,False,False,False,False,True
3.126.0.0/16,False,True,False,False,False,False,False,False,True
3.127.0.0/16,False,True,False,False,False,False,False,False,True
3.128.0.0/16,False,True,False,False,False,False,False,False,True
3.129.0.0/16,False,True,False,False,False,False,False,False,False
3.130.0.0/16,False,True,False,False,False,False,False,False,True
3.131.0.0/16,False,True,False,False,False,False,False,False,True
3.132.0.0/16,False,True,False,False,False,False,False,False,True
3.133.0.0/16,False,True,False,False,False,False,False,False,True
3.134.0.0/16,False,True,False,False,False,False,False,False,True
3.135.0.0/16,False,True,False,False,False,False,False,False,True
3.136.0.0/16,False,True,False,False,False,False,False,False,True
3.137.0.0/16,False,True,False,False,False,False,False,False,True
3.138.0.0/16,False,True,False,False,False,False,False,False,True
